Subject,Lambda,LR,EncDim,DecDim,Dropout,MSE
S006,0.5,0.0001,128,32,0.2,0.03486606734804809
S006,0.5,0.0001,128,64,0.3,0.04142392612993717
S006,0.5,0.0001,128,64,0.2,0.03735831333324313
S006,0.5,0.0001,128,128,0.2,0.03643555549206212
S006,0.5,0.0001,128,128,0.3,0.035845567123033106
S006,0.5,0.0001,256,32,0.3,0.03853873710613698
S006,0.5,0.0001,256,32,0.2,0.040990496054291725
S006,0.5,0.0001,256,128,0.2,0.03822680714074522
S006,0.5,0.0001,256,64,0.2,0.03630398539826274
S006,0.5,0.0001,256,64,0.3,0.03635459940414876
S006,1.0,0.001,64,32,0.2,0.04674680985044688
S006,1.0,0.001,64,64,0.2,0.028822453634347767
S006,1.0,0.001,64,64,0.3,0.04784566396847367
S006,0.5,0.0001,256,128,0.3,0.03485843655653298
S006,1.0,0.001,64,32,0.3,0.03999839280731976
S006,1.0,0.001,64,128,0.3,0.030970566789619625
S006,1.0,0.001,128,32,0.3,0.033125217305496335
S006,1.0,0.001,128,32,0.2,0.02452493377495557
S006,1.0,0.001,64,128,0.2,0.0349509910447523
S006,1.0,0.001,128,64,0.2,0.03516378835774958
S006,1.0,0.001,128,64,0.3,0.0465807830914855
S006,1.0,0.001,128,128,0.3,0.044143752194941044
S006,1.0,0.001,256,32,0.2,0.036219832487404346
S006,1.0,0.001,128,128,0.2,0.037178259692154825
S006,1.0,0.001,256,64,0.2,0.045625140657648444
S006,1.0,0.001,256,32,0.3,0.02960977505426854
S006,1.0,0.001,256,128,0.2,0.025461278681177646
S006,1.0,0.001,256,128,0.3,0.030843635380733758
S006,1.0,0.0001,64,32,0.2,0.03695934498682618
S006,1.0,0.0001,64,64,0.3,0.038448310806415975
S006,1.0,0.0001,64,32,0.3,0.04339394764974713
S006,1.0,0.0001,64,128,0.3,0.04107360914349556
S006,1.0,0.0001,128,32,0.2,0.04301621043123305
S006,1.0,0.0001,64,64,0.2,0.04145374719519168
S006,1.0,0.0001,64,128,0.2,0.04031275352463126
S006,1.0,0.0001,128,64,0.2,0.04702907637692988
S006,1.0,0.0001,128,64,0.3,0.04243709798902273
S006,1.0,0.0001,128,32,0.3,0.045019028009846807
S006,1.0,0.0001,128,128,0.3,0.0405406653881073
S006,1.0,0.0001,128,128,0.2,0.03808489290531725
S006,1.0,0.0001,256,32,0.3,0.04472396045457572
S006,1.0,0.0001,256,32,0.2,0.03590588620863855
S006,1.0,0.0001,256,64,0.2,0.040398614248260856
S006,1.5,0.001,64,32,0.2,0.038657567696645856
S006,1.0,0.0001,256,64,0.3,0.037363336770795286
S006,1.0,0.0001,256,128,0.2,0.04036110907327384
S006,1.5,0.001,64,64,0.2,0.04926315927878022
S006,1.5,0.001,64,32,0.3,0.036531034391373396
S006,1.0,0.0001,256,128,0.3,0.037786619272083044
S006,1.5,0.001,64,64,0.3,0.03742928255815059
S006,1.5,0.001,128,32,0.2,0.04438296938315034
S006,1.5,0.001,64,128,0.2,0.03606705251149833
S006,1.5,0.001,64,128,0.3,0.03499881410971284
S006,1.5,0.001,128,64,0.2,0.03833354287780821
S006,1.5,0.001,128,64,0.3,0.037851269356906414
S006,1.5,0.001,128,128,0.2,0.0571544433478266
S006,1.5,0.001,128,32,0.3,0.031076553859747946
S006,1.5,0.001,256,32,0.2,0.5007644221186638
S006,1.5,0.001,256,32,0.3,0.04418482421897352
S006,1.5,0.001,256,64,0.2,0.0452773910947144
S006,1.5,0.001,128,128,0.3,0.03484827617648989
S006,1.5,0.001,256,64,0.3,0.0463180155493319
S006,1.5,0.001,256,128,0.3,0.029167491127736866
S006,1.5,0.0001,64,32,0.3,0.0460914324503392
S006,1.5,0.0001,64,32,0.2,0.03924233000725508
S006,1.5,0.001,256,128,0.2,0.5008995197713375
S006,1.5,0.0001,64,64,0.2,0.049008612520992756
S006,1.5,0.0001,128,32,0.2,0.04533296590670943
S006,1.5,0.0001,64,128,0.3,0.044770317152142525
S006,1.5,0.0001,64,64,0.3,0.04288378427736461
S006,1.5,0.0001,64,128,0.2,0.038551345583982766
S006,1.5,0.0001,128,32,0.3,0.05112289753742516
S006,1.5,0.0001,128,64,0.3,0.04952415556181222
S006,1.5,0.0001,128,128,0.2,0.048435189528390765
S006,1.5,0.0001,128,64,0.2,0.03667118912562728
S006,1.5,0.0001,128,128,0.3,0.0395339805399999
S006,1.5,0.0001,256,32,0.2,0.043779603438451886
S006,1.5,0.0001,256,64,0.2,0.04995816643349826
S006,1.5,0.0001,256,32,0.3,0.041854121489450336
S006,1.5,0.0001,256,128,0.2,0.043712492333725095
S006,1.5,0.0001,256,64,0.3,0.0541624934412539
S006,1.5,0.0001,256,128,0.3,0.04442818649113178
S006,2.0,0.001,64,32,0.2,0.04553182306699455
S006,2.0,0.001,64,64,0.2,0.07093378948047757
S006,2.0,0.001,64,32,0.3,0.0572161627933383
S006,2.0,0.001,64,128,0.2,0.03857207449618727
S006,2.0,0.001,64,64,0.3,0.1030616071075201
S006,2.0,0.001,128,64,0.2,0.04416934913024306
S006,2.0,0.001,128,32,0.3,0.06069869361817837
S006,2.0,0.001,128,32,0.2,0.05297157261520624
S006,2.0,0.001,128,64,0.3,0.05577945103868842
S006,2.0,0.001,128,128,0.2,0.04133627703413367
S006,2.0,0.001,128,128,0.3,0.04342184332199395
S006,2.0,0.001,256,32,0.3,0.04247791203670204
S006,2.0,0.001,256,64,0.3,0.06906196940690279
S006,2.0,0.001,256,32,0.2,0.0367065982427448
S006,2.0,0.001,256,64,0.2,0.04964872938580811
S006,2.0,0.001,256,128,0.2,0.05274505983106792
S006,2.0,0.001,256,128,0.3,0.04820332117378712
S006,2.0,0.0001,64,32,0.3,0.04622340225614607
S006,2.0,0.0001,64,32,0.2,0.04715681169182062
S006,2.0,0.0001,64,64,0.2,0.044151352951303124
S006,2.0,0.0001,64,64,0.3,0.045309448381885886
S006,2.0,0.0001,64,128,0.3,0.05297617241740227
S006,2.0,0.0001,128,32,0.2,0.040694222901947796
S006,2.0,0.0001,128,32,0.3,0.04472728190012276
S006,2.0,0.0001,64,128,0.2,0.03684354736469686
S006,2.0,0.0001,128,64,0.2,0.04763100098352879
S006,2.0,0.0001,128,64,0.3,0.04723550286144018
S006,2.0,0.0001,128,128,0.2,0.060710299760103226
S006,2.0,0.0001,256,32,0.2,0.0530139293987304
S006,2.0,0.0001,256,64,0.2,0.04987866501323879
S006,2.0,0.0001,256,32,0.3,0.04516501724720001
S006,2.0,0.0001,256,64,0.3,0.04284495208412409
S006,2.0,0.0001,128,128,0.3,0.037724102614447474
S006,2.0,0.0001,256,128,0.3,0.04371991625521332
S006,2.0,0.0001,256,128,0.2,0.05962672596797347
S007,0.5,0.001,64,64,0.3,0.005753533837075035
S007,0.5,0.001,64,32,0.3,0.009634499593327442
S007,0.5,0.001,64,64,0.2,0.00444407210064431
S007,0.5,0.001,64,32,0.2,0.005371525185182691
S007,0.5,0.001,64,128,0.2,0.007367271153877179
S007,0.5,0.001,64,128,0.3,0.003872872175027927
